SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
SAMPLE_31	0.711940009497475	0.13920865628305	0.883506675093381	0.781146821332067	0.139104536770881	0.281441806181705	0.644848400291644	0.140214429424266	0.317108248580579	0.344452343612381	0.859329596849661	0.881321238865164	0.684663474111145	0.139442278340043	0.140202432843102	0.140214429424266	0.908640083105597	0.33259541010794	0.773014797125675	0.998604083698152	0.884468870045892	0.587260498829897	0.88173438200681	0.843469397571297	0	0.715678177005396	0.139829263438437	0.139317107486619	0.976644857753118	0.140273982171862	0.876864924970064	0.994491200046418	0.114455742122463	0.144167497422983	0.209187362975162
SAMPLE_32	0.704346958191449	0.703826418620606	0.630066532272534	0.888549664458979	0.716408398729167	0.673766322559026	0.592317337972038	0.715897148380068	0.445223102377622	0.703882632740187	0.812662314863519	0.972071291768598	0.672737188725302	0.708418478550047	0.716450328089624	0.716450328089624	0.861469620578254	0.598762264548856	0.761863584875551	0.993121980490137	0.997433125515227	0.66623997231638	0.773240155796566	0.946511993400894	0.715678177005396	0	0.699707468815933	0.703228381618974	0.912534439130292	0.713126223558254	0.921257874945378	0.814083576105725	0.709752096333049	0.709674649335116	0.578947672547722
SAMPLE_33	0.70847247685931	0.0687074257842065	0.980780948636323	0.867327018050913	0.110528648499645	0.250877031973204	0.609188897617796	0.074007447526574	0.29544167594687	0.336664476981094	0.843670139291113	0.987684706240076	0.669035108461114	0.0615296250238671	0.0692608127546021	0.105524328506024	0.896938728695621	0.303504840945886	0.748610769516906	0.992032946251208	0.997457923671723	0.592319026061688	0.978784580083823	0.94917606138771	0.139829263438437	0.699707468815933	0	0.0582182268746409	0.941084706523325	0.073182274171066	0.983099064536082	0.978022819170738	0.0989457781700253	0.135497682919711	0.185579725031194
SAMPLE_34	0.711358732126121	0.0282582759027224	0.983935326777676	0.881007769819889	0.122327655347557	0.263105336162443	0.627834959880028	0.0290244381954353	0.301935814235573	0.338268972565169	0.847259409780765	0.987542126714161	0.670158973931445	0.05079684682049	0.0283250549825202	0.105432273365276	0.894175270994354	0.317255870006184	0.762135983142189	0.992725964533602	0.996377795222043	0.602221490396853	0.981425678307348	0.951453681516682	0.139317107486619	0.703228381618974	0.0582182268746409	0	0.954023157056749	0.0290694625783285	0.982634629556195	0.980492899976356	0.0924249780349411	0.134661387057078	0.189838351238999
SAMPLE_35	0.722893939875874	0.959349242812855	0.92461508110548	0.929872251377861	0.852124407202306	0.806917186516325	0.863213027204369	0.96981189346773	0.878797399538287	0.726524703327197	0.932821410978428	0.971771633184181	0.707004368699588	0.95219667562696	0.964105783705822	0.922356944428539	0.759098266284306	0.739091430326524	0.707254471767016	0.992483984887326	0.998783999979346	0.748848133380292	0.904132063965516	0.930290780667685	0.976644857753118	0.912534439130292	0.941084706523325	0.954023157056749	0	0.975852173724053	0.938595547418902	0.844016349708387	0.912058547686817	0.965506112571838	0.896676627945886
SAMPLE_4	0.716307098841581	0.0193924614689289	0.995125055383467	0.892087031346374	0.129026492728231	0.278430236090383	0.642758448998146	0.0110870987031912	0.31473339653406	0.345207224009497	0.856917849727727	0.992988674291987	0.682765506159462	0.0595372523586464	0.0162277594574419	0.106741913035499	0.910203751075078	0.334834109211091	0.77360242387317	0.998188871484242	0.997160568668712	0.618540144102037	0.993315055908177	0.958282301069323	0.140273982171862	0.713126223558254	0.073182274171066	0.0290694625783285	0.975852173724053	0	0.988315372541463	0.99143265958329	0.108849559330566	0.144681739905445	0.206636457046126
SAMPLE_5	0.985329535297644	0.991169145929492	0.353603011434415	0.408861563633061	0.990731550019665	0.954064217818337	0.932640648347246	0.991608123088299	0.913601939267001	0.991368690118587	0.956360157327723	0.182449450214489	0.961865126724909	0.991143286385546	0.991735030079622	0.992012301393804	0.940192464117869	0.913036936853409	0.99065006360704	0.998507219774123	0.517360164386251	0.916557436179442	0.558384227914698	0.319213424241417	0.876864924970064	0.921257874945378	0.983099064536082	0.982634629556195	0.938595547418902	0.988315372541463	0	0.931587275472846	0.9604623532293	0.991739527411757	0.924442599596811
SAMPLE_6	0.880914510789976	0.976636882558223	0.828210680148525	0.980178753029937	0.994511864574307	0.856566786477327	0.717042576778112	0.994404661988191	0.802400335701183	0.889812898453542	0.947027773976802	0.968343641717901	0.859660434425862	0.981789888573899	0.994808840293696	0.994735293757125	0.85695476024473	0.814067068911403	0.884348247497929	0.898517982840775	0.992028320514756	0.846550871185882	0.796578498489757	0.944217247900846	0.994491200046418	0.814083576105725	0.978022819170738	0.980492899976356	0.844016349708387	0.99143265958329	0.931587275472846	0	0.984165157259796	0.985038810929648	0.846184342721895
SAMPLE_7	0.69577088287007	0.10971278255639	0.95373630069997	0.845160751181006	0.123285865256264	0.271604600735872	0.625341732848476	0.106451074696996	0.302516137068938	0.34236136341246	0.853197939327881	0.952572658842204	0.678182665533392	0.0845439373454186	0.097427979676284	0.0866415622150533	0.871924133161235	0.314677400808628	0.757863841979057	0.985663589006773	0.961129851950533	0.561313171430351	0.951517417329664	0.920032065421758	0.114455742122463	0.709752096333049	0.0989457781700253	0.0924249780349411	0.912058547686817	0.108849559330566	0.9604623532293	0.984165157259796	0	0.138776243121119	0.188945866532209
SAMPLE_8	0.707764003486893	0.138108483624514	0.995126185425573	0.891661324460106	0.142370577156693	0.265079494362977	0.630280238782768	0.143208744390835	0.307674300839389	0.334077416808089	0.853063932395647	0.99498248339135	0.675557415533012	0.134559878013887	0.141704110916869	0.142328263588134	0.903980285594064	0.326311112892828	0.762514209712984	0.991336067148439	0.999227469506025	0.61018088709512	0.988391795241291	0.952195684421607	0.144167497422983	0.709674649335116	0.135497682919711	0.134661387057078	0.965506112571838	0.144681739905445	0.991739527411757	0.985038810929648	0.138776243121119	0	0.197767094999848
