SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
SAMPLE_19	0.875	0.857142857142857	0.828571428571429	0.866666666666667	0.925925925925926	0.869565217391304	0.888888888888889	0.88	0.769230769230769	0.884615384615385	0	0.684210526315789	0.75	0.88	0.916666666666667	0.9	0.877551020408163	0.930232558139535	0.869565217391304	0.875	0.842105263157895	0.842105263157895	0.787878787878788	0.736842105263158	0.904761904761905	0.8	0.76	0.828571428571429	0.814814814814815	0.647058823529412	0.75	0.875	0.853658536585366	0.884615384615385	0.8125
SAMPLE_2	0.724137931034483	0.692307692307692	0.727272727272727	0.731707317073171	0.846153846153846	0.795454545454545	0.890909090909091	0.84	0.565217391304348	0.8	0.684210526315789	0	0.708333333333333	0.739130434782609	0.826086956521739	0.85	0.808510638297872	0.851851851851852	0.714285714285714	0.727272727272727	0.647058823529412	0.714285714285714	0.586206896551724	0.684210526315789	0.8	0.652173913043478	0.72	0.727272727272727	0.777777777777778	0.4	0.470588235294118	0.756756756756757	0.736842105263158	0.846153846153846	0.78125
SAMPLE_20	0.8	0.842105263157895	0.853658536585366	0.733333333333333	0.870967741935484	0.765957446808511	0.8	0.740740740740741	0.733333333333333	0.75	0.75	0.708333333333333	0	0.827586206896552	0.857142857142857	0.88	0.826923076923077	0.819277108433735	0.769230769230769	0.777777777777778	0.833333333333333	0.717948717948718	0.82051282051282	0.888888888888889	0.84	0.8	0.678571428571428	0.575757575757576	0.689655172413793	0.681818181818182	0.807692307692308	0.75609756097561	0.795454545454545	0.6	0.666666666666667
SAMPLE_21	0.787878787878788	0.75	0.783783783783784	0.72093023255814	0.777777777777778	0.833333333333333	0.836363636363636	0.896551724137931	0.758620689655172	0.68	0.88	0.739130434782609	0.827586206896552	0	0.695652173913044	0.869565217391304	0.865384615384615	0.883720930232558	0.695652173913044	0.652173913043478	0.869565217391304	0.702702702702703	0.842105263157895	0.782608695652174	0.875	0.9375	0.793103448275862	0.783783783783784	0.838709677419355	0.714285714285714	0.884615384615385	0.833333333333333	0.785714285714286	0.730769230769231	0.645161290322581
SAMPLE_22	0.882352941176471	0.875	0.805555555555556	0.795454545454545	0.45	0.875	0.892857142857143	0.695652173913044	0.827586206896552	0.851851851851852	0.916666666666667	0.826086956521739	0.857142857142857	0.695652173913044	0	0.857142857142857	0.836734693877551	0.906976744186046	0.833333333333333	0.84	0.857142857142857	0.756756756756757	0.894736842105263	0.869565217391304	0.863636363636364	0.967741935483871	0.821428571428572	0.805555555555556	0.827586206896552	0.863636363636364	0.92	0.955555555555556	0.775	0.76	0.787878787878788
SAMPLE_23	0.903225806451613	0.833333333333333	0.945945945945946	0.934782608695652	0.826086956521739	0.958333333333333	0.964285714285714	0.869565217391304	0.888888888888889	0.875	0.9	0.85	0.88	0.869565217391304	0.857142857142857	0	0.895833333333333	0.953488372093023	0.909090909090909	0.91304347826087	0.947368421052632	0.894736842105263	0.944444444444444	0.952380952380952	0.894736842105263	0.962962962962963	0.884615384615385	0.916666666666667	0.888888888888889	0.894736842105263	0.954545454545454	0.951219512195122	0.928571428571429	0.875	0.909090909090909
SAMPLE_24	0.883333333333333	0.931818181818182	0.875	0.845070422535211	0.846153846153846	0.893333333333333	0.916666666666667	0.795918367346939	0.854545454545455	0.928571428571429	0.877551020408163	0.808510638297872	0.826923076923077	0.865384615384615	0.836734693877551	0.895833333333333	0	0.891891891891892	0.924528301886792	0.925925925925926	0.895833333333333	0.828125	0.873015873015873	0.92156862745098	0.92	0.87037037037037	0.872727272727273	0.819672131147541	0.811320754716981	0.851063829787234	0.857142857142857	0.914285714285714	0.818181818181818	0.909090909090909	0.868852459016394
SAMPLE_25	0.916666666666667	0.95	0.864583333333333	0.797979797979798	0.885057471264368	0.762886597938144	0.836363636363636	0.933333333333333	0.80952380952381	0.831325301204819	0.930232558139535	0.851851851851852	0.819277108433735	0.883720930232558	0.906976744186046	0.953488372093023	0.891891891891892	0	0.853658536585366	0.882352941176471	0.91566265060241	0.808510638297872	0.826086956521739	0.917647058823529	0.941860465116279	0.898876404494382	0.862068965517241	0.815217391304348	0.888888888888889	0.890243902439024	0.892857142857143	0.78494623655914	0.85	0.885057471264368	0.767441860465116
SAMPLE_26	0.8125	0.8	0.868421052631579	0.767441860465116	0.807692307692308	0.714285714285714	0.784313725490196	0.928571428571429	0.827586206896552	0.590909090909091	0.869565217391304	0.714285714285714	0.769230769230769	0.695652173913044	0.833333333333333	0.909090909090909	0.924528301886792	0.853658536585366	0	0.473684210526316	0.8	0.82051282051282	0.8	0.7	0.863636363636364	0.933333333333333	0.821428571428572	0.771428571428571	0.827586206896552	0.684210526315789	0.826086956521739	0.694444444444444	0.833333333333333	0.708333333333333	0.709677419354839
SAMPLE_27	0.741935483870968	0.8125	0.842105263157895	0.714285714285714	0.857142857142857	0.804347826086956	0.854545454545455	0.931034482758621	0.833333333333333	0.545454545454545	0.875	0.727272727272727	0.777777777777778	0.652173913043478	0.84	0.91304347826087	0.925925925925926	0.882352941176471	0.473684210526316	0	0.684210526315789	0.763157894736842	0.805555555555556	0.65	0.869565217391304	0.935483870967742	0.785714285714286	0.777777777777778	0.870967741935484	0.631578947368421	0.833333333333333	0.769230769230769	0.80952380952381	0.72	0.757575757575757
