Species	tax_id	organism_name	Genus	Family	Order	Class	Phylum	Kingdom	Domain	pathogen_status	sum	SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
Rossellomorea sp. FM04394	3243076	Rossellomorea sp. FM04394	Rossellomorea	Bacillaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.003150106	0	0	0	0	0	0.000428077	0.002127549	0	0	0	0	0	0	0	0	0	0	7.95E-05	0.000109303	0	0	0	0	0	0	0	0	0	0	0	0	0.000405659	0	0	0
Rossellomorea vietnamensis	218284	Rossellomorea vietnamensis	Rossellomorea	Bacillaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.000420389	0	0	0	0	0	9.79E-05	0.000322466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia marcescens	615	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	8.03977E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.04E-05	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella baltica	62322	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	0.010706161	0	0	0	0	0	0	0.000200155	0	0	0	0	0	0	0	0	0	0	6.39E-05	0	0	0	0	0.005490904	0	0	0.0049512	0	0	0	0	0	0	0	0	0
Shewanella oncorhynchi	2726434	Shewanella oncorhynchi	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.04911444	0	0	0	0.000498176	0	0	0	0	0.000493066	0	0	8.15E-05	0.001079153	0	0	0	0	0.001935796	0	0	0	0	0.019942184	0	0	0.021556532	0.000243882	0.000193649	0	6.05E-05	0	0.003030057	0	0	0
Shewanella putrefaciens	24	Shewanella putrefaciens	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	0.006211381	0	0	0	6.74E-05	0	0	0	0	0	0	0	0.000234227	0	0	0	0	0	0.000190579	0	0	0	0	0.002148016	0	0	0.002899812	0	0	0	5.23E-05	0	0.000619028	0	0	0
Shewanella sp. ANA-3	94122	Shewanella sp. ANA-3	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	6.14711E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15E-05	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella sp. JNE10-2	2989725	Shewanella sp. JNE10-2	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000197484	0	0	0	0.000197484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella sp. SNU WT4	2590015	Shewanella sp. SNU WT4	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.327996698	0	0	0	0.000950811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013450086	0.215247234	0.096777539	0	0.001571028	0	0	0	0	0	0	0	0	0	0	0
Shewanella sp. WE21	2029986	Shewanella sp. WE21	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.032333237	0	0	0	5.26E-05	0	0	0	0	0.000119127	0	0	0	0	0	0	0	0	4.36E-05	0	0	0	0	0.027220058	0	0	0.000793894	0	0	0	0	0	0.004103947	0	0	0
Shewanella xiamenensis	332186	Shewanella xiamenensis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	9.41638E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32E-05	0	0	0	0	0	0	0	5.09E-05	0	0	0	0
Shinella sp. HZN7	879274	Shinella sp. HZN7	Shinella	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000212635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000212635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shouchella clausii	79880	Shouchella clausii	Shouchella	Bacillaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	6.48687E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas leidyi	68569	Sphingomonas leidyi	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.001604408	0	0	0	0	0	0	0.000805887	0	0	0	0	0	0	0	0	0	0.000694821	0	0	0	0	0.000103699	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporosarcina sp. UB5	3047463	Sporosarcina sp. UB5	Sporosarcina	Caryophanaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.002106177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002106177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus epidermidis	1282	Staphylococcus epidermidis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.011805145	0.000661445	0	0	0	0	0	0	0.000197598	0	0	0	0	0	0	0	0	0.001150798	0	0	0	0	0	0	0	0	0.000149001	0	0	0.009646302	0	0	0	0	0	0
Staphylococcus hominis	1290	Staphylococcus hominis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.000498014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000331885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000166129	0
Staphylococcus warneri	1292	Staphylococcus warneri	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.001042232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001042232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus thermophilus	1308	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota	Bacillati	Bacteria	NA	0.027638933	0.001671018	0	0	0	6.10E-05	0	0	0.002317289	0	0	0	0	0.000133332	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001126903	0	0.022329403	0	0	0	0	0	0
