Species	tax_id	organism_name	Genus	Family	Order	Class	Phylum	Kingdom	Domain	pathogen_status	sum	SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
Tabrizicola piscis	2494374	Tabrizicola piscis	Tabrizicola	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000487383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000487383	0	0	0	0	0	0	0	0	0	0	0	0	0
Tabrizicola sp.	2005166	Tabrizicola sp.	Tabrizicola	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	7.77794E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Taurinivorans muris	2787751	Taurinivorans muris	Taurinivorans	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota	Pseudomonadati	Bacteria	NA	0.009208595	0	0	0	0	0.001313626	0.001535949	0.000213217	0	0	0	0	0	0	0	0	0	0	0.001154384	0.000188915	0	0	0	0	4.60E-05	0	0	0.000272379	0	0.004484133	0	0	0	0	0	0
Telmatocola sphagniphila	1123043	Telmatocola sphagniphila	Telmatocola	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetota	Pseudomonadati	Bacteria	NA	0.000101357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000101357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terrirubrum flagellatum	2895980	Terrirubrum flagellatum	Terrirubrum	Terrirubraceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000811877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000708178	0	0	0	0.000103699	0	0	0	0	0	0	0	0	0	0	0	0	0
Terrisporobacter hibernicus	2813371	Terrisporobacter hibernicus	Terrisporobacter	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Bacillota	Bacillati	Bacteria	NA	0.000124097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000124097	0	0	0	0	0	0	0
Terrisporobacter mayombei	1541	Terrisporobacter mayombei	Terrisporobacter	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Bacillota	Bacillati	Bacteria	NA	0.002898357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000223082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002558	0	0	0.000117274
Terrisporobacter petrolearius	1460447	Terrisporobacter petrolearius	Terrisporobacter	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Bacillota	Bacillati	Bacteria	NA	0.000122086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122086	0	0	0	0	0	0	0
Terrisporobacter vanillatitrophus	3058402	Terrisporobacter vanillatitrophus	Terrisporobacter	Peptostreptococcaceae	Peptostreptococcales	Clostridia	Bacillota	Bacillati	Bacteria	NA	0.000835055	0	0	0	0	0	0	0	0	0	6.78E-05	0	0	0	0	0	0	0	8.96E-05	0	0	0	0	0	4.30E-05	0	0	0	0.0002606	0	0	0	0	0	0	0.000374071
Thermospira aquatica	2828656	Thermospira aquatica	Thermospira	Thermospiraceae	Brevinematales	Spirochaetia	Spirochaetota	Pseudomonadati	Bacteria	NA	0.836102211	0.00156658	0.000692136	0	0.000117761	0.000392611	0	0	0.001320316	0.000639742	0.000877841	4.98E-05	0.000796209	0.00023333	0.000850942	0.000256266	0.05825089	0.683557525	0.000263529	6.90E-05	0	0	0.003437638	0	9.51E-05	0.000521541	0	0.000134556	0.000226611	0.054394427	0	0	0	0.024447985	0.002155718	0.000754171
Thioclava sp. FR2	3445780	Thioclava sp. FR2	Thioclava	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000141238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000141238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tolypothrix sp. PCC 7712	2596898	Tolypothrix sp. PCC 7712	Tolypothrix	Tolypothrichaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	NA	0.000105639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema phagedenis	162	Treponema phagedenis	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetota	Pseudomonadati	Bacteria	NA	0.000801961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000801961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichormus azollae	551115	'Nostoc azollae' 0708	Trichormus	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	NA	6.74047E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.74E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Undibacterium parvum	401471	Undibacterium parvum	Undibacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000544825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87E-05	0	0	0	0	0	0	0	0	0.000496174	0	0	0	0	0	0	0	0
Urbifossiella limnaea	2528023	Urbifossiella limnaea	Urbifossiella	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetota	Pseudomonadati	Bacteria	NA	0.000139958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000139958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax sp. W6	3093895	Variovorax sp. W6	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.004918278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003007519	0.001910759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vogesella sp. XCS3	2877939	Vogesella sp. XCS3	Vogesella	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	7.82585E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.83E-05	0
Xanthomonas albilineans	29447	Xanthomonas albilineans	Xanthomonas	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.00015269	0	0	0	0	0	0	0	0.00015269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia enterocolitica	1262462	Yersinia enterocolitica (type O:5) str. YE53/03	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.017416935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017416935	0	0	0	0	0	0
uncultured Mailhella sp.	1981031	uncultured Mailhella sp.	Mailhella	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota	Pseudomonadati	Bacteria	NA	0.021826798	0	0	0.001177481	0.010215377	0.000260055	0.000599631	0.000841475	0	0.000252053	0	0	0	0	0.000604394	0.000650737	0	0	0.000264221	8.99E-05	0	0	0.003819399	6.55E-05	0	0	0	0.000256253	0.000111376	0	0	0	0	0.000696822	0.000189391	0.001732746
